,INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
3519,[50.000-75.000),F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,,,Own,House,White,English
3520,[15.000-20.000),F,Single,25-34,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Four,,,Mobile Home,White,English
3521,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Four,One,Own,House,White,English
3522,[30.000-40.000),M,Single,35-44,Graduated High Scool,Professional/Managerial,1-3 years,Not Married,One,,Own,House,American Indian,English
3523,-10.000),F,Divorced,25-34,Graduated High Scool,Homemaker,10+ years,Not Married,Four,Three,Family,House,Hispanic,English
3524,[50.000-75.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,White,English
3525,[15.000-20.000),F,Single,25-34,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Three,Three,Own,,White,English
3526,[10.000-15.000),F,Widowed,25-34,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Seven,Six,Rent,House,Hispanic,English
3527,[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
3528,[75.000-,F,Married,55-64,1 to 3 years of college,Unemployed,7-10 years,No,Three,,Own,House,White,English
3529,[50.000-75.000),M,Married,55-64,Grad Study,Retired,10+ years,No,Two,,Own,,White,English
3530,[20.000-25.000),M,Married,18-24,Graduated High Scool,Clerical/Service Worker,,Yes,Two,,Rent,Apartment,Hispanic,English
3531,[15.000-20.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,,Not Married,Four,One,Family,House,Hispanic,Spanish
3532,-10.000),F,Single,18-24,College graduate,"Student, HS or College",,Not Married,Two,,Rent,Apartment,Hispanic,English
3533,[40.000-50.000),F,Married,25-34,Graduated High Scool,Sales Worker,4-6 years,Yes,Five,Three,Own,House,White,English
3534,-10.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,,Not Married,Three,,Rent,Apartment,White,English
3535,[40.000-50.000),M,Married,25-34,Grad Study,Military,1-3 years,No,Four,Two,Rent,House,White,English
3536,[20.000-25.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Six,,Rent,House,Pacific Islander,English
3537,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,Hispanic,Spanish
3538,[40.000-50.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,,Not Married,Five,Two,Rent,,Hispanic,English
3539,[10.000-15.000),M,Single,18-24,Graduated High Scool,Military,1-3 years,Not Married,One,,,,White,English
3540,[30.000-40.000),F,Married,25-34,Grade 8 or less,Homemaker,10+ years,Yes,Five,Two,Own,House,Hispanic,Spanish
3541,[30.000-40.000),F,Divorced,45-54,Graduated High Scool,Sales Worker,7-10 years,Not Married,Three,,Own,House,Hispanic,Spanish
3542,[50.000-75.000),M,Divorced,25-34,College graduate,Sales Worker,,Not Married,Two,,Rent,House,White,English
3543,[75.000-,M,Together,25-34,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
3544,[50.000-75.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Five,Three,Own,House,White,English
3545,[50.000-75.000),F,Married,25-34,Graduated High Scool,Professional/Managerial,7-10 years,Yes,Two,,Rent,Condominium,White,English
3546,[75.000-,M,Divorced,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Own,House,White,English
3547,[30.000-40.000),M,Divorced,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Two,One,Own,House,White,English
3548,[20.000-25.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,,No,Two,One,Own,House,White,English
3549,[30.000-40.000),M,Married,45-54,Graduated High Scool,Military,,No,Two,,Own,,White,English
3550,[10.000-15.000),F,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Four,,Family,House,Asian,English
3551,[20.000-25.000),M,Single,18-24,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Three,,Family,House,White,English
3552,[20.000-25.000),F,Single,25-34,College graduate,Professional/Managerial,,Not Married,One,,Own,House,White,English
3553,-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,,Family,House,White,English
3554,[40.000-50.000),M,Married,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,No,,,Own,House,White,English
3555,[50.000-75.000),F,Single,65+,1 to 3 years of college,Clerical/Service Worker,,Not Married,One,,Rent,Apartment,White,English
3556,[50.000-75.000),M,Married,55-64,College graduate,Retired,10+ years,No,Two,,Own,House,White,English
3557,[15.000-20.000),M,Divorced,65+,Graduated High Scool,Retired,10+ years,Not Married,One,,Own,House,White,English
3558,[40.000-50.000),F,Married,18-24,1 to 3 years of college,Clerical/Service Worker,4-6 years,Not Married,Two,,Rent,Apartment,Asian,Other
3559,[30.000-40.000),F,Married,55-64,Grad Study,Factory Worker/Laborer/Driver,7-10 years,No,Two,,Rent,Apartment,White,English
3560,[30.000-40.000),M,Married,45-54,College graduate,Professional/Managerial,1-3 years,Yes,Five,Two,Rent,House,Asian,Other
3561,[40.000-50.000),M,Divorced,25-34,College graduate,Professional/Managerial,7-10 years,Not Married,One,,Own,House,Black,English
3562,[10.000-15.000),F,Married,18-24,1 to 3 years of college,Clerical/Service Worker,,Yes,Three,,Rent,Apartment,Hispanic,English
3563,-10.000),F,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,,Family,House,Hispanic,Spanish
3564,-10.000),M,Single,14-17,Grade 8 or less,Homemaker,1-3 years,Not Married,,,,House,Other,English
3565,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,House,White,English
3566,[20.000-25.000),F,Single,14-17,,Homemaker,,Not Married,Five,Six,Rent,Other,Hispanic,Spanish
3567,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Four,,Family,House,Asian,Other
3568,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",7-10 years,Not Married,Six,Two,Family,House,American Indian,Spanish
3569,[30.000-40.000),F,Married,35-44,1 to 3 years of college,Sales Worker,-1 year,Yes,Two,,Rent,House,White,English
3570,[20.000-25.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Rent,Apartment,White,English
3571,[30.000-40.000),F,Single,18-24,Graduated High Scool,Professional/Managerial,10+ years,Not Married,One,,Rent,Condominium,White,English
3572,[50.000-75.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Eight,Three,Rent,House,Hispanic,Spanish
3573,[50.000-75.000),F,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,Hispanic,Spanish
3574,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Seven,,Own,House,Pacific Islander,English
3575,[50.000-75.000),M,Married,45-54,Grade 8 or less,Factory Worker/Laborer/Driver,,Yes,Two,,Rent,Apartment,Hispanic,Spanish
3576,-10.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Six,Three,Family,House,White,English
3577,[50.000-75.000),M,Married,35-44,1 to 3 years of college,Factory Worker/Laborer/Driver,1-3 years,Yes,Four,Two,Rent,,Asian,Other
3578,[50.000-75.000),F,Together,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,7-10 years,Yes,Four,Two,Own,House,White,English
3579,[75.000-,M,Together,35-44,College graduate,Professional/Managerial,7-10 years,Yes,Two,,Rent,House,White,English
3580,[50.000-75.000),M,Single,18-24,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Six,One,Own,House,Asian,English
3581,[50.000-75.000),M,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
3582,[50.000-75.000),F,Single,45-54,1 to 3 years of college,Homemaker,,Not Married,Five,Two,Own,House,White,English
3583,[75.000-,F,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
3584,[75.000-,M,Together,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,,,,Apartment,Black,English
3585,[15.000-20.000),M,Single,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,White,English
3586,[25.000-30.000),F,Divorced,35-44,1 to 3 years of college,Sales Worker,,Not Married,Three,One,Own,House,White,English
3587,-10.000),M,Single,18-24,Graduated High Scool,Sales Worker,4-6 years,Not Married,Four,,Family,Condominium,Black,English
3588,-10.000),M,Single,18-24,Graduated High Scool,Military,10+ years,Not Married,Six,Two,Family,House,White,English
3589,-10.000),F,Married,35-44,College graduate,"Student, HS or College",10+ years,Yes,One,,Own,Mobile Home,White,English
3590,[25.000-30.000),M,Married,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,10+ years,Yes,Seven,,Family,,Hispanic,Spanish
3591,[30.000-40.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Six,Four,Own,House,Hispanic,English
3592,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,,Hispanic,Spanish
3593,[40.000-50.000),F,Married,35-44,Graduated High Scool,Homemaker,10+ years,No,Four,One,Own,House,White,English
3594,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,,Black,English
3595,[10.000-15.000),M,Married,55-64,Grade 8 or less,Unemployed,10+ years,No,Two,,Rent,House,Hispanic,Spanish
3596,[30.000-40.000),F,Married,25-34,1 to 3 years of college,Professional/Managerial,1-3 years,Yes,Two,,Rent,House,Hispanic,English
3597,[30.000-40.000),M,Widowed,55-64,Grades 9 to 11,Retired,10+ years,Not Married,Two,,Own,House,Hispanic,English
3598,[30.000-40.000),M,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,One,,Own,Other,Hispanic,English
3599,[15.000-20.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Four,One,Family,House,Hispanic,Spanish
3600,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Hispanic,English
3601,-10.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Four,One,Family,House,Hispanic,English
3602,[10.000-15.000),M,Divorced,25-34,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Four,One,Family,,Hispanic,Spanish
3603,-10.000),F,Divorced,25-34,Grades 9 to 11,,1-3 years,Not Married,,,Rent,House,Hispanic,Spanish
3604,[25.000-30.000),M,Single,25-34,Grad Study,Professional/Managerial,-1 year,Not Married,,,Rent,Apartment,Hispanic,Spanish
3605,[30.000-40.000),M,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,,Hispanic,English
3606,[20.000-25.000),F,Married,25-34,Graduated High Scool,Clerical/Service Worker,-1 year,Yes,Three,Two,Rent,Apartment,Hispanic,English
3607,[10.000-15.000),M,Single,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,1-3 years,Not Married,Eight,Four,Family,House,Hispanic,Spanish
3608,-10.000),M,Married,18-24,Grade 8 or less,Factory Worker/Laborer/Driver,,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3609,-10.000),F,Single,18-24,Grade 8 or less,Sales Worker,7-10 years,Not Married,,,Rent,Apartment,Hispanic,Spanish
3610,[25.000-30.000),M,Together,25-34,Graduated High Scool,Professional/Managerial,-1 year,Not Married,Two,,Rent,Apartment,Hispanic,English
3611,[40.000-50.000),M,Married,45-54,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Yes,Five,One,Rent,House,Hispanic,Spanish
3612,[40.000-50.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,,Yes,Five,One,Rent,House,Hispanic,Spanish
3613,[10.000-15.000),M,Single,18-24,Grad Study,Professional/Managerial,4-6 years,Not Married,Seven,Four,Own,House,Hispanic,Spanish
3614,-10.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,,,Family,House,Hispanic,Spanish
3615,[15.000-20.000),F,Together,18-24,Graduated High Scool,"Student, HS or College",,Not Married,Four,,Family,House,Hispanic,English
3616,[10.000-15.000),M,Married,25-34,Grades 9 to 11,Sales Worker,1-3 years,Yes,Five,Three,Rent,Apartment,Hispanic,Spanish
3617,[20.000-25.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,,No,Four,,Own,House,Hispanic,English
3618,-10.000),F,Married,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,7-10 years,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3619,-10.000),M,Married,55-64,Grade 8 or less,Retired,10+ years,No,Four,Two,Rent,House,Hispanic,Spanish
3620,-10.000),M,Together,18-24,Grades 9 to 11,,4-6 years,Not Married,Two,,Rent,Other,Hispanic,Spanish
3621,[10.000-15.000),F,,45-54,Grades 9 to 11,,,Yes,Four,Two,Rent,House,Hispanic,Spanish
3622,[15.000-20.000),M,Married,25-34,Grades 9 to 11,Sales Worker,10+ years,Yes,Three,,Own,House,Hispanic,Spanish
3623,-10.000),F,Married,65+,Grade 8 or less,Homemaker,10+ years,No,Two,,Rent,House,Hispanic,Spanish
3624,-10.000),F,Married,25-34,Grades 9 to 11,Homemaker,7-10 years,No,Three,One,Rent,Apartment,Hispanic,Spanish
3625,[10.000-15.000),M,,25-34,Grade 8 or less,Factory Worker/Laborer/Driver,7-10 years,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3626,[15.000-20.000),M,Single,55-64,Grade 8 or less,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,House,Hispanic,Spanish
3627,[10.000-15.000),M,Divorced,35-44,Grade 8 or less,Sales Worker,7-10 years,Not Married,One,,Rent,Mobile Home,Hispanic,Spanish
3628,-10.000),F,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Six,Four,Own,House,Hispanic,Spanish
3629,-10.000),F,Together,25-34,Grade 8 or less,Homemaker,10+ years,No,Seven,Five,Rent,House,Hispanic,English
3630,[30.000-40.000),M,Married,18-24,Graduated High Scool,Sales Worker,,No,Six,Two,Rent,House,Hispanic,Spanish
3631,-10.000),M,Married,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Yes,Five,Three,Rent,Apartment,Hispanic,English
3632,-10.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Five,Three,Rent,Apartment,Hispanic,English
3633,-10.000),F,Single,18-24,Grades 9 to 11,Sales Worker,7-10 years,Not Married,Seven,Three,Family,House,Hispanic,Spanish
3634,-10.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Five,One,Rent,Apartment,Hispanic,English
3635,-10.000),F,Single,14-17,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Five,One,Family,Apartment,Hispanic,English
3636,-10.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Five,Two,Family,House,Hispanic,Spanish
3637,[15.000-20.000),F,,45-54,Grade 8 or less,,10+ years,No,,,Rent,House,Hispanic,Spanish
3638,-10.000),F,Married,25-34,Grade 8 or less,Factory Worker/Laborer/Driver,4-6 years,Yes,Five,Three,Rent,Apartment,Hispanic,Spanish
3639,-10.000),M,Married,35-44,Grades 9 to 11,Factory Worker/Laborer/Driver,4-6 years,Yes,Five,Three,Rent,Apartment,Hispanic,Spanish
3640,[10.000-15.000),F,Married,35-44,Grade 8 or less,Homemaker,10+ years,Not Married,Four,Two,Family,House,Hispanic,Spanish
3641,-10.000),F,Single,25-34,Graduated High Scool,"Student, HS or College",,Not Married,One,,Family,House,Hispanic,Spanish
3642,-10.000),F,Divorced,18-24,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Six,Two,Rent,House,Hispanic,English
3643,[25.000-30.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Three,,Family,House,Hispanic,Spanish
3644,[40.000-50.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Six,Three,Rent,House,Hispanic,English
3645,-10.000),F,Married,18-24,Grades 9 to 11,Clerical/Service Worker,,Yes,Three,,,Apartment,Hispanic,Spanish
3646,-10.000),M,Married,18-24,Graduated High Scool,,,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3647,[10.000-15.000),M,Married,18-24,1 to 3 years of college,Sales Worker,,No,Two,,Rent,House,Hispanic,Spanish
3648,-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,,Not Married,Six,Two,Rent,Mobile Home,Hispanic,Spanish
3649,[10.000-15.000),M,Married,25-34,Grades 9 to 11,Factory Worker/Laborer/Driver,7-10 years,No,Four,Two,Rent,Apartment,Hispanic,Spanish
3650,[25.000-30.000),M,Married,25-34,Grade 8 or less,Factory Worker/Laborer/Driver,,Yes,Four,Two,,Apartment,Hispanic,Spanish
3651,[10.000-15.000),M,,18-24,1 to 3 years of college,Sales Worker,,No,Eight,Two,Rent,House,Hispanic,Spanish
3652,[20.000-25.000),M,Married,25-34,Graduated High Scool,Professional/Managerial,10+ years,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3653,[25.000-30.000),F,Married,25-34,Grades 9 to 11,Factory Worker/Laborer/Driver,4-6 years,Yes,Four,Two,Rent,Apartment,Hispanic,Spanish
3654,-10.000),M,Married,25-34,Grades 9 to 11,Unemployed,,Not Married,Four,,Own,House,Hispanic,Spanish
3655,-10.000),M,Married,45-54,Grade 8 or less,Unemployed,,Yes,Six,Four,Rent,Apartment,Hispanic,Spanish
3656,[10.000-15.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,,Not Married,Two,,Rent,Apartment,Hispanic,Spanish
3657,-10.000),M,Married,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,,Yes,Two,,Rent,House,Hispanic,Spanish
3658,-10.000),F,Married,18-24,Grades 9 to 11,Homemaker,,Not Married,Two,,Rent,House,Hispanic,Spanish
3659,-10.000),M,Married,25-34,Grade 8 or less,,,Yes,,,Rent,House,Hispanic,Spanish
3660,-10.000),F,Married,25-34,Grade 8 or less,Homemaker,,Yes,Seven,Five,Rent,Apartment,Hispanic,Spanish
3661,[25.000-30.000),M,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,,Yes,Three,Seven,Rent,Apartment,Hispanic,Spanish
3662,-10.000),F,Married,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,,Yes,Three,One,Rent,Apartment,Hispanic,Spanish
3663,-10.000),M,Married,25-34,Grades 9 to 11,Factory Worker/Laborer/Driver,,Yes,Six,,Rent,Apartment,Hispanic,Spanish
3664,-10.000),F,Married,45-54,,,,Yes,Two,,Rent,Apartment,Hispanic,Spanish
3665,[10.000-15.000),M,Married,45-54,Grade 8 or less,,,Yes,Three,One,Rent,House,Hispanic,Spanish
3666,[50.000-75.000),M,Married,55-64,College graduate,Professional/Managerial,10+ years,No,Two,,Own,House,Hispanic,English
3667,[10.000-15.000),M,Married,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,,Yes,Eight,Two,Rent,House,Hispanic,Spanish
3668,[10.000-15.000),M,Single,18-24,Grades 9 to 11,Clerical/Service Worker,1-3 years,Not Married,Five,,Family,House,Hispanic,Spanish
3669,-10.000),F,Married,25-34,Grade 8 or less,Homemaker,,No,Five,Three,Rent,House,Hispanic,Spanish
3670,[30.000-40.000),F,Married,25-34,Graduated High Scool,Professional/Managerial,,Yes,Three,One,Rent,House,Hispanic,English
3671,[25.000-30.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,Yes,Four,Two,Own,House,Hispanic,English
3672,[20.000-25.000),F,Married,25-34,Grades 9 to 11,Professional/Managerial,10+ years,Yes,Six,Four,Rent,House,Hispanic,English
3673,-10.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,One,Rent,Mobile Home,Hispanic,English
3674,-10.000),M,Single,18-24,1 to 3 years of college,Unemployed,,Not Married,Four,,Family,Apartment,Hispanic,Spanish
3675,[15.000-20.000),F,Married,25-34,College graduate,Homemaker,10+ years,Yes,Two,,Rent,Condominium,White,English
3676,[25.000-30.000),M,Married,18-24,1 to 3 years of college,Military,1-3 years,Yes,Two,,Rent,Apartment,East Indian,Other
3677,[20.000-25.000),F,Married,18-24,1 to 3 years of college,Clerical/Service Worker,1-3 years,Yes,Two,,Rent,Apartment,White,English
3678,[20.000-25.000),M,Married,18-24,Graduated High Scool,Military,1-3 years,Yes,Two,,Rent,Apartment,White,English
3679,[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,7-10 years,No,Three,One,Rent,House,White,English
3680,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,,Yes,Two,,Own,House,White,English
3681,[30.000-40.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,4-6 years,Yes,Five,Three,Own,House,Hispanic,English
3682,[25.000-30.000),F,Widowed,55-64,Graduated High Scool,Professional/Managerial,7-10 years,Not Married,Two,,Rent,House,White,English
3683,[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Four,Two,Own,House,Other,English
3684,[50.000-75.000),F,Together,35-44,College graduate,Professional/Managerial,10+ years,Not Married,Two,Seven,Own,House,White,English
3685,[20.000-25.000),M,Married,25-34,Graduated High Scool,Military,7-10 years,Yes,Two,,Rent,Apartment,White,English
3686,[40.000-50.000),M,Single,25-34,Grad Study,Professional/Managerial,7-10 years,Not Married,One,,Own,House,White,English
3687,[25.000-30.000),M,Married,25-34,1 to 3 years of college,Clerical/Service Worker,,No,Six,Three,Family,House,White,English
3688,[15.000-20.000),F,Widowed,65+,1 to 3 years of college,Sales Worker,,Not Married,One,,Rent,Apartment,White,English
3689,[20.000-25.000),M,Married,25-34,1 to 3 years of college,Military,1-3 years,No,Two,,Own,House,White,English
3690,-10.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",4-6 years,Not Married,Four,One,Family,House,Hispanic,English
3691,-10.000),M,Single,18-24,Graduated High Scool,Military,1-3 years,Not Married,,,,Other,White,English
3692,[30.000-40.000),M,Married,35-44,1 to 3 years of college,Military,-1 year,Yes,Four,Two,Rent,Apartment,Black,English
3693,[25.000-30.000),F,Divorced,45-54,1 to 3 years of college,Professional/Managerial,,Not Married,Four,,Rent,Apartment,Black,
3694,[25.000-30.000),M,Married,35-44,1 to 3 years of college,Clerical/Service Worker,,Yes,Four,Two,Rent,House,White,
3695,[40.000-50.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,Four,One,Rent,House,White,English
3696,[50.000-75.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Three,One,Own,House,White,English
3697,[10.000-15.000),F,Single,45-54,1 to 3 years of college,Sales Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
3698,[50.000-75.000),F,Married,25-34,1 to 3 years of college,Sales Worker,,Yes,Four,Two,Own,House,White,English
3699,[30.000-40.000),M,Married,45-54,1 to 3 years of college,Clerical/Service Worker,4-6 years,Yes,Two,,Rent,House,White,English
3700,-10.000),F,Single,18-24,Graduated High Scool,Clerical/Service Worker,7-10 years,Not Married,Seven,Four,Family,House,White,
3701,[40.000-50.000),M,Divorced,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Five,Three,Own,House,American Indian,English
3702,-10.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",4-6 years,Not Married,Four,,Rent,Apartment,White,English
3703,-10.000),M,Single,18-24,Grades 9 to 11,"Student, HS or College",,Not Married,Three,,Family,House,Hispanic,English
3704,[25.000-30.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,1-3 years,Yes,Four,Two,Rent,Apartment,,English
3705,[10.000-15.000),F,Single,18-24,Graduated High Scool,Military,-1 year,Not Married,Three,One,,House,Black,English
3706,-10.000),M,Divorced,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Three,,Rent,Apartment,Black,English
3707,-10.000),M,Single,25-34,Grad Study,Military,,Not Married,One,One,,Other,White,English
3708,[40.000-50.000),F,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,,Yes,Four,Two,Own,House,White,English
3709,[30.000-40.000),F,Married,18-24,Graduated High Scool,Sales Worker,,Yes,Two,,Own,House,Hispanic,English
3710,[30.000-40.000),M,Married,25-34,Graduated High Scool,Professional/Managerial,,Yes,Two,,Own,House,White,English
3711,[15.000-20.000),M,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,One,,Family,House,White,English
3712,[25.000-30.000),F,Married,45-54,1 to 3 years of college,Clerical/Service Worker,4-6 years,Yes,Two,,Own,House,White,English
3713,[25.000-30.000),F,Widowed,35-44,College graduate,Professional/Managerial,1-3 years,Not Married,Five,Three,,House,White,Spanish
3714,[25.000-30.000),F,Together,35-44,Graduated High Scool,Professional/Managerial,10+ years,No,Two,,Own,House,White,English
3715,[10.000-15.000),F,,35-44,Graduated High Scool,,10+ years,Yes,Two,,Own,House,White,English
3716,[20.000-25.000),M,Married,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Own,House,White,English
3717,[40.000-50.000),M,Married,45-54,College graduate,Retired,,No,Four,,Own,House,Asian,Other
3718,[30.000-40.000),F,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
3719,[40.000-50.000),F,Married,45-54,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Four,One,Own,House,White,English
3720,[25.000-30.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Four,One,Own,House,Hispanic,English
3721,[40.000-50.000),M,Married,55-64,Grad Study,Retired,10+ years,Not Married,Two,,Own,House,White,English
3722,[30.000-40.000),F,Married,35-44,1 to 3 years of college,Homemaker,4-6 years,No,Five,Two,Rent,House,White,English
3723,[50.000-75.000),M,Married,55-64,Graduated High Scool,Retired,10+ years,Yes,Two,,Own,,White,English
3724,[50.000-75.000),F,Divorced,35-44,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Rent,House,White,English
3725,[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
3726,[25.000-30.000),F,Married,18-24,1 to 3 years of college,Homemaker,1-3 years,No,Two,Two,Rent,Apartment,White,English
3727,[50.000-75.000),M,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,,Family,House,White,English
3728,-10.000),M,Single,18-24,1 to 3 years of college,Unemployed,7-10 years,Not Married,Three,,Family,House,White,English
3729,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Five,Three,Own,House,White,English
3730,[10.000-15.000),F,Single,18-24,1 to 3 years of college,Military,,Not Married,One,,Rent,Other,White,English
3731,[30.000-40.000),M,Single,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,,Not Married,One,,Rent,Apartment,Black,English
3732,[40.000-50.000),M,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,No,Five,Three,Rent,House,Asian,English
3733,[40.000-50.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,No,Four,One,Own,House,White,English
3734,[10.000-15.000),F,Single,18-24,Graduated High Scool,Clerical/Service Worker,4-6 years,Not Married,Two,,Rent,Apartment,Hispanic,English
